unit,text,label,Unnamed: 3
7238,"The dermatologist switched her from a mild topical cream to a stronger prescription ointment after the rash spread. She set reminders so she would not miss the morning dose, even on busy days. At the follow-up visit, the doctor reviewed side effects and adjusted the plan to reduce nausea. The pharmacist explained how the new medication could interact with her allergy pills. After two weeks, the swelling finally eased and she could sleep through the night.",single,
7238,"After the knee surgery, the surgeon prescribed a short course of antibiotics and a tapering schedule for pain medication. He followed the instructions carefully, taking the pills with food to avoid stomach upset. When dizziness showed up on day three, the clinic advised a different drug and a lower dose. Physical therapy started a week later, and the therapist tracked how inflammation responded to treatment. By the end of the month, he was walking without a limp.",single,
7238,"The oncologist outlined the chemotherapy regimen and explained why the infusions had to happen on specific days. She brought a notebook to record the anti-nausea meds and the timing that worked best. Blood tests guided small changes to the dosing so the side effects stayed manageable. When fatigue became overwhelming, the team added supportive treatment and emphasized hydration. She left each appointment with a clear medication plan for the week.",single,
7238,"He picked up a new inhaler and learned the difference between the daily controller and the rescue spray. The respiratory nurse watched his technique and corrected how he held his breath after each puff. Because the symptoms flared at night, the doctor added a low-dose steroid and scheduled a check-in. Over the next few days, the wheezing settled and his sleep improved. He kept the rescue inhaler in his jacket pocket just in case.",single,
7238,"The clinic started her on a targeted migraine medication after months of trial and error. She tracked triggers, took the tablet at the first warning signs, and noted how quickly it worked. When the headaches returned more often, the neurologist suggested a preventive injection and reviewed the risks. The insurance approval took a week, but the pharmacy called as soon as it cleared. By the second month, the attacks were shorter and less frequent.",single,
7238,"On Friday night they finally started 'The Bear' and watched two episodes back-to-back. The next day, he downloaded 'Hades' and lost track of time trying to beat a new run. She kept quoting lines from 'The Grand Budapest Hotel' while making coffee. When the credits rolled on 'Dune: Part Two', everyone sat quietly for a moment. By Sunday, their group chat was full of recommendations and spoilers warnings.",single,
7238,"He reread 'The Hobbit' on the train and still smiled at the riddles. That evening, they put on 'Blade Runner 2049' with the lights off to match the mood. A friend insisted that 'Disco Elysium' was more novel than game, and the debate lasted an hour. Later, she queued up 'Succession' and promised they would stop after one episode. Of course they did not.",single,
7238,"She started 'The Last of Us' and immediately texted her brother about the opening scene. He preferred games, so he picked 'Elden Ring' and showed off a boss fight he finally mastered. When they needed something lighter, they switched to 'Parks and Recreation' and let it run in the background. A worn copy of 'Norwegian Wood' sat on the table with bookmarks sticking out. Their weekend was basically a stack of titles in motion.",single,
7238,"They planned a movie night around 'Spirited Away' because everyone claimed to love it. Afterward, he argued that 'Interstellar' deserved another rewatch, just for the soundtrack. She brought her handheld and played 'Stardew Valley' while the others chose snacks. Someone mentioned 'The Name of the Wind' and the room split into fans and skeptics. The conversation kept circling back to what they should watch next.",single,
7238,"He finished 'Breaking Bad' late at night and stared at the screen in disbelief. The next morning he started 'Better Call Saul' to see how it all began. On his lunch break, he skimmed reviews for 'Cyberpunk 2077' and considered reinstalling it. A colleague loaned him 'The Three-Body Problem' and warned him to be patient early on. By the end of the week, his spare time had been claimed by titles again.",single,
7238,"Her resume highlighted advanced Excel modeling, Python scripting, and SQL querying for analytics projects. During the interview, she described how she built dashboards in Power BI to support quarterly sales reviews. The hiring manager asked about CRM experience, and she walked through automations she configured in Salesforce. She also mentioned version control habits and how she documented workflows for the team. The conversation stayed focused on tools, results, and delivery.",single,
7238,"He joined the customer success team and was immediately put in charge of cleaning up the CRM pipeline. After auditing the fields in HubSpot, he built validation rules and a simple workflow to reduce duplicate leads. He demonstrated a Tableau report that tracked renewals by segment and showed churn risk at a glance. When finance asked for an export, he wrote a quick SQL query and delivered it before lunch. The managers cared less about the code and more about the numbers moving in the right direction.",single,
7238,"The proposal emphasized proficiency with Jira, Confluence, and Git to keep cross-functional work organized. She described how she automated weekly status updates and reduced manual reporting overhead. For forecasting, she used spreadsheets, a small Python job, and a shared dashboard so sales could monitor targets. Security approvals mattered, so she explained how access controls were handled in the shared drive and the data warehouse. The pitch sounded like operations, but it was really software discipline.",single,
7238,"He opened the deck with a screenshot of the new internal tool and explained the rollout plan. The team needed a centralized ticketing system, so he recommended ServiceNow and mapped the workflow to existing processes. In the Q&A, he discussed API integrations, data quality checks, and user training for the support staff. A director asked about cost, and he compared license tiers and implementation effort. The decision hinged on whether the software would actually stick after launch.",single,
7238,"She wrote a short profile for her portfolio describing projects in data engineering and business analytics. It included Snowflake experience, dbt transformations, and automated reporting for stakeholders. In a case study, she explained how she reduced query time and improved reliability for a weekly metrics pipeline. She also noted collaboration practices, like code reviews and clear documentation in the repo. It read like a professional summary built around software and outcomes.",single,
7238,"The public health notice warned that a batch of soft cheese might be contaminated with Listeria. At the grocery store, employees pulled the product from the shelves and posted the recall number near the dairy case. A pregnant customer called her doctor to ask what symptoms to watch for after eating it. Inspectors reviewed the facility’s sanitation logs and traced the distribution to a few counties. Everyone in the neighborhood seemed to be checking their fridge that night.",single,
7238,"He got an alert about a deli meat recall and realized he had just made sandwiches from the same brand. The announcement mentioned Listeria and urged people to discard the product immediately. He wiped down the fridge shelves, tossed the leftovers, and washed the cutting board with hot soapy water. Later, he read that older adults and immunocompromised people were at higher risk. The whole situation made him rethink how he stores ready-to-eat foods.",single,
7238,"The restaurant closed for a day after a routine test flagged Listeria in the prep area. Management brought in a cleaning crew and replaced containers that could not be sanitized properly. The health department required follow-up sampling before the kitchen could reopen. Staff were retrained on temperature control and cross-contamination risks. When they returned, every surface seemed to gleam a little too brightly.",single,
7238,"A family member in the hospital asked them to avoid bringing certain foods because of Listeria concerns. They skipped the pre-cut fruit and chose shelf-stable snacks instead. The nurse explained that the bacteria can be dangerous for patients with weakened immune systems. At home, they checked expiration dates and separated raw items from ready-to-eat foods. The warning turned into a permanent change in how they packed visits.",single,
7238,"The local news reported a small Listeria outbreak linked to packaged salad mixes. The story included interviews with shoppers who had eaten the product days earlier and felt anxious. Stores posted signs at the entrance with instructions for refunds and disposal. Investigators asked the producer for traceability records and cleaning procedures. By evening, the salad aisle looked oddly empty.",single,
7238,"By noon the air outside felt like it was coming from an open oven, and the sidewalk shimmered. She closed the blinds, drank water constantly, and still felt drained after a short walk. The city opened cooling centers and asked people to check on neighbors without air conditioning. Even at midnight, the apartment stayed hot and restless. When the forecast promised another day of extreme heat, she planned to stay indoors.",single,
