unit,text,label
27166,"The nurse asked about the rash before looking at the photos on my phone. This morning the spots had spread across my arms and felt hot under my sweater. After a quick exam, she ordered a blood test and told me to stay home from work. By afternoon the fever eased, but the itching kept me awake anyway.",single
27166,"During the appointment, the doctor pointed to the scan and explained why the pain kept flaring up. A small tear had formed, and the swelling was pressing on a nerve. Medication helped for a few days, then the symptoms returned when I tried to lift a grocery bag. The next step was a short course of physiotherapy and a follow-up in two weeks.",single
27166,"He thought it was just a stubborn cold until his breathing turned tight on the stairs. At the urgent care, they measured his oxygen and listened for wheezing. The inhaler worked within minutes, but the clinician still wrote a plan for flare-ups. He left with clear instructions on what signs meant he should come back immediately.",single
27166,"The ultrasound room was quiet except for the printer spitting out a grainy photo. The midwife measured twice, frowned briefly, and then relaxed as the numbers lined up. A later blood draw was scheduled to confirm everything was on track. On the way out, the couple stopped in the hallway to reread the appointment card.",single
27166,"The quarterfinal started under bright lights with both teams pacing like they had been waiting all week. A single turnover swung momentum, and the crowd got loud enough to drown out the whistle. In the final minute, a defender blocked the shot that would have tied it. When the horn sounded, the players collapsed on the floor and stared at the scoreboard.",single
27166,"The bracket was taped to the gym door, and everyone kept checking it between matches. One upset early in the day forced a rematch that nobody expected. The semifinal went to overtime, and the coach burned the last timeout to settle the nerves. After the handshake line, the winners posed for a photo with the tournament banner.",single
27166,"Rain slicked the field, but the playoff game still felt fast from the first kickoff. A late goal changed the whole stadium, and the away section went silent. The referee added extra time, and every clearance looked like a miracle. When the final whistle came, the home fans surged toward the railing, chanting the player’s name.",single
27166,"They traveled two hours for the regional meet and still ended up running the first heat at dawn. The relay exchange nearly failed, but the baton stayed in hand by a fingertip. By the last event, everyone knew the points were close and every place mattered. The awards ceremony felt longer than the races because the results took forever to confirm.",single
27166,"The training portal unlocked a new module after I finished the quiz on spreadsheets. It showed a dashboard that tracked progress, deadlines, and the badges tied to each lesson. When I upgraded the plan, the platform added templates and an export button that saved everything in one click. By the end of the week, I could build a simple report and share it with my team.",single
27166,"The small business switched invoicing tools and immediately noticed fewer late payments. The new software sent automatic reminders and grouped customers by their usual purchase patterns. A clean analytics page highlighted which products were slipping and which were growing. After one month, the owner stopped juggling spreadsheets and started planning cash flow with confidence.",single
27166,"She signed up for a digital marketing course because her store’s ads were wasting money. The lessons were short, but each one ended with an exercise inside a practice workspace. After adjusting the targeting settings, the campaign finally reached people who lived nearby. The first weekend after the change, the checkout line felt different.",single
27166,"The product demo promised faster onboarding, and it delivered with a guided setup that took ten minutes. A built-in chat widget answered questions before anyone had to email support. The team liked the permission controls because they could limit who edited what. When the trial ended, the decision came down to price versus how much time the tool saved.",single
27166,"The bookstore clerk held up the new edition and pointed out the added chapter at the back. The cover looked familiar, but the typesetting was cleaner and the footnotes were expanded. I bought it anyway because my old copy had coffee stains on half the pages. On the train home, I compared the first paragraph line by line.",single
27166,"He hunted for a revised printing because the earlier version had a mistake in the map. The publisher had quietly corrected it and changed the ISBN by a single digit. When the package arrived, the spine still gleamed like it had never been opened. He slipped the book into a protective sleeve as if it were a collectible.",single
27166,"They played cards at the kitchen table while the stew simmered, cutting the deck with exaggerated seriousness. One player kept bluffing big, and the others started calling just to test him. A lucky draw flipped the mood, and laughter replaced the groans. By midnight, the chips were gone, but nobody wanted to stop.",single
27166,"The card night turned competitive when someone suggested a high-stakes final hand. She watched the tells, waited through the long pause, and then pushed her stack forward. The reveal made everyone shout at once because the outcome felt impossible. Afterward, they replayed the hand from memory like it was a famous moment.",single
27166,"The argument began quietly over a missed deadline and then sharpened into accusations. Voices rose until people in the next room stopped talking to listen. One chair scraped back hard enough to leave a mark on the floor. When the manager stepped between them, both sides suddenly remembered where they were.",single
27166,"They squared up in the ring, gloves tapping once before the bell. The first round was all jabs and footwork, but the tension kept building. A clean hook landed in the second, and the crowd reacted like a single body. After the stoppage, the winner raised his arms while the other fighter stared at the canvas.",single
27166,"The patrol moved through the alley in tight formation, scanning doors and windows. A sudden clatter sent everyone to cover, and a shouted command echoed off the brick. For a few seconds, it was only breath and footsteps and the click of gear. When it ended, they regrouped and checked that everyone was still there.",single
27166,"The rivalry had been friendly for years, but that night it turned hostile. Someone shoved first, and the rest followed without thinking. Drinks spilled, and a glass shattered near the doorway. Security arrived fast, but the damage was already done.",single
27166,"After the clinic visit for a stubborn cough, she stopped by the sports hall where a local playoff was drawing a crowd. Between matches, her colleague showed her a finance app that tracked ticket sales and sent payouts to vendors automatically. In the lobby, a vendor promoted a new edition of a popular book while a few fans played cards at a small table. When a disputed call sparked shouting in the stands, staff stepped in quickly to keep it from turning into a fight.",mixed
27166,"He limped out of physiotherapy and headed straight to the tournament venue to watch his brother’s semifinal. At the entrance, a volunteer scanned QR codes using a platform that logged attendance and generated a simple revenue report. Near the snack bar, someone was flipping through a collector’s edition while two strangers dealt a quick card game to pass the time. A heated argument over seating escalated until a guard separated the men before anyone swung.",mixed
