prompt,ppl_base,next_token_loss_base,original_index,ppl_spike_90,label,mean_cluster_risk,max_cluster_risk,std_cluster_risk,median_cluster_risk,n_hits,n_unique_features,polysemantic_ratio,feature_entropy,weighted_entropy,dominance_ratio,label_proba,label_pred
"Context:
In the student essay, every thought blurred together because nothing ended cleanly. The teacher circled spots where a question mark should have replaced a plain dot. After revision, the page finally breathed with clear stops and starts. End-of-sentence punctuation made the argument easier to follow.",77.3687,4.3485823,0,9.15625,1,2.7001429,5135.2617,65.48145,0.0,36276,660,0.018193847,6.49224,4.4367924,1901.8481,0.9910111427307129,1.0
"Context:
The agent’s brochure highlighted the district name and a list of nearby streets, all spelled with fussy precision. I checked the window latch with a tiny screwdriver I keep for quick repairs. My partner, balancing her pregnancy diet, measured a small amount of rice in a container and said she missed eating freely since the gestational diabetes warning. In the stairwell, a little sticker of a smiling cat contrasted with the tenant’s rant about politics, layoffs, and looming conflict.",115.07817,4.7456117,1,10.775,0,2.690262,4555.1274,60.775494,0.0,60334,726,0.012033016,6.58755,5.112832,1693.1909,0.010204160585999489,0.0
"Context:
At the reunion dinner, my uncle told a story about the day a new railway opened and the whole region celebrated in the central station. He rattled off the towns the line connected, then described the politician who cut the ribbon on camera. Someone else brought up a concert venue nearby that later became iconic for its live recordings. The conversation kept orbiting around places and events like they were family members.",50.904724,3.9299557,2,8.1875,1,2.524848,4125.3984,60.032917,0.0,50415,675,0.013388872,6.514713,4.7561307,1633.9196,0.9913437366485596,1.0
"Context:
They chose a remote island to avoid crowds and schedules. The mornings were for swimming, the midday for reading, and the evenings for slow dinners near the shore. A rented scooter carried them to viewpoints where the sea looked endless. Tourism became a simple routine of sun, salt, and sleep.",54.83377,4.0043063,3,9.5,1,2.797502,2879.1843,62.33792,0.0,38119,661,0.017340435,6.493754,4.5475206,1029.1982,0.9911423921585083,1.0
"Context:
The dishwasher started beeping at midnight and flashed an error code that wouldn’t clear. I pulled it out, tightened the hose clamp, and tried again, but the motor still sounded rough. On my laptop I downloaded a fresh driver so the diagnostic tool would recognize the appliance’s control board. By morning I had also scheduled pest control because the cabinet behind the machine was full of tiny black ants.",27.467121,3.3129897,4,7.134374,1,2.8501942,5758.3687,67.11068,0.0,52312,711,0.013591528,6.5666723,4.888341,2020.3425,0.9963992834091187,1.0
"Context:
He attended a short service, standing when others stood and staying silent when the room went quiet. On the train home, he wrote in his journal, describing the morning in plain sentences. The written communication steadied his thoughts more than he expected. By the time he closed the notebook, the day felt anchored.",44.425346,3.7938101,5,8.124999,1,2.3755302,6402.962,67.9165,0.0,40571,658,0.016218482,6.489205,4.3026676,2695.382,0.9850894212722778,1.0
"Context:
The coordination site demanded extra details, so she met the user registration requirements and finally joined the professionals network. She checked service availability for audio gear, then cooked a quick meal and finished a craft patch while still wearing a homemade cosmetic tint. A brief religious ritual ended, and written communication followed, outlining what action to take during the next shift. In the evening, a favela-focused grant type forced accountancy reviews, a reticle-based photo survey, and a choice of lubricant for worn hinges, and exhaustion brewed hallucinations while proper names and publicized items dominated the event feed.",399.19193,5.9894423,6,13.825,0,3.5044909,4512.1543,76.608444,0.0,73811,715,0.009686903,6.572283,5.281697,1287.5349,0.0013431189581751823,0.0
"Context:
The first snow of the year turned errands into a slog, but the cashier still greeted everyone like it was no trouble. A community table by the entrance collected donations, and the staff helped pack boxes between customers. In the following days, the office hosted a yearly planning meeting, and helpful assistants made sure the right people were in the right rooms. She spent nights organizing holiday travel and sketching summer ideas to give herself something bright to look forward to. When preseason started later, the sports calendar felt like another way the year divides itself into chapters.",60.310074,4.099499,7,8.6875,0,2.7670798,5092.2886,64.60918,0.0,68841,681,0.00989236,6.5235624,5.0833426,1840.3114,0.0030171633698046207,0.0
"Context:
The barge clipped a support beam, and the impact sent debris into the slow-moving river. Within a week, algae and invasive plants thickened around the broken pieces, turning the area into a green mat. Mosquitoes bred in the stagnant pockets, and residents complained they couldn’t sit outside. Cleanup crews worked in waders, swatting bugs while dragging rotting vegetation to shore.",40.275776,3.6957502,8,8.637499,1,3.0502572,4898.9106,63.71179,0.0,49280,723,0.014671266,6.5834093,5.1198816,1606.0648,0.9658507704734802,1.0
"Context:
A bank representative called to verify a transfer and asked him to read out a code from a secure message. The conversation turned to a dispute process and what documentation would be accepted. After the call, he received a letter that outlined a settlement option and a strict timeline. He couldn’t shake the feeling that every step was designed to leave a trail.",26.128626,3.2630315,9,6.468749,1,2.7112103,3889.0474,65.150375,0.0,45467,644,0.014164119,6.4676986,4.5204334,1434.4323,0.9353858828544617,1.0
"Context:
The brochure for Harbor Spa promised an soothing weekend, but the deal was exclusive to the first ten bookings. The receptionist explained that the package lasted only forty-eight hours and could not be extended. A couple arrived late and learned that the last room had already been taken. They stood in the lobby staring at the sign that said limited availability. By the time they called again, the offer was gone.",28.836779,3.3616517,10,8.999998,1,1.9743494,4211.344,56.19057,0.0,51631,661,0.012802386,6.493754,4.4060006,2133.0288,0.9924726486206055,1.0
"Context:
In the pitch room, the founder kept repeating the company name like it was a spell, even when the slide already had the logo in the corner. The investor asked about burn rate, convertible notes, and what the valuation would look like after the next round. A product manager chimed in with talk of cloud costs, encryption, and a roadmap tied to two specific vendors. The conversation sounded like finance and tech terms bouncing off the walls.",34.629215,3.5446978,11,8.375,1,2.3266096,3566.7507,58.844944,0.0,56551,672,0.011883079,6.510258,4.71754,1533.025,0.9586004614830017,1.0
"Context:
A coordinator tried to join a professionals network for managing event gear. The platform blocked her until she met the user registration requirements and confirmed her credentials. After that, she checked service availability for staging crews and lighting rigs in the schedule view. Her network actions finally went through, and the equipment list updated in real time.",122.599945,4.8089266,12,10.84375,1,2.7831671,4512.1543,70.813705,0.0,41182,654,0.015880724,6.4831076,4.423507,1621.2301,0.9513295292854309,1.0
"Context:
The opening paragraph leaned on previous roles and earlier projects to set credibility. Then an advertisement segment described a deal, ended on a short final sentence, and stopped without trailing text. A report-style section began with a title and a sentence of context, then ended right after stating the result. At the bottom, a debug excerpt showed [] filling the screen until a final word ended the run. The last line left nothing unresolved.",96.368744,4.568182,13,9.668745,0,2.0985875,2986.6167,53.06799,0.0,54703,662,0.012101713,6.4952655,4.6479383,1423.1556,0.13627640902996063,0.0
"Context:
Marcus flew into Tokyo for the Sony product launch and checked into the Aman hotel with a view of the skyline. At the gala, he heard Ms. Sato’s name three times in one minute because everyone needed her approval before the presentation started. The next day, he visited Keio University, where a physician explained a clinical trial for diabetes treatment. On the train, posters for the Marathon and logos from UNICEF and local startups filled the carriage. By evening, Marcus realized his trip had become a collage of places, organizations, medical talk, and names that kept resurfacing.",44.04943,3.7853124,14,8.43125,0,2.7104886,5672.423,66.30567,0.0,73199,713,0.009740571,6.5694814,5.1171713,2092.7676,0.0013516736216843128,0.0
"Context:
The cruise ship’s concierge booked shore excursions, but the galley staff were distracted by a Whirlpool dishwasher that kept throwing a drain error. They cleared food debris from the filter and got the machine running again. I visited the onboard office to fax papers for an adjudication process tied to a daycare issue and listened on VoIP as a doctor discussed kidney and bladder results. That night, fantasy trivia in the lounge mixed invented names with media references, political figures, and academic talk while appliances ran their routines.",140.81773,4.9474664,15,10.875,0,3.052127,5758.3687,68.854485,0.0,62805,735,0.01170289,6.5998707,5.2132373,1886.6741,0.05609126761555672,0.0
"Context:
I bought a camera after obsessing over its sensor size and frame rate, then carried the receipt straight to the hardware store for renovation supplies. My dentist called about the next procedure, and the reminder landed beside my tax folder and a note to add more to savings. In the background, a livestream tracked Brexit talks and the rumored shape of a deal, with experts arguing over what was conceded. That evening, I read a biography for class, got pulled into a discussion of class and grace, tried a virtual reality education demo, and ended the day by baking and posting a review of the camera lens.",61.31681,4.116054,16,10.012497,0,2.6837723,4769.992,68.18856,0.0,76227,689,0.009038792,6.535241,5.026606,1777.3461,0.0013967148261144757,0.0
"Context:
We stepped into a bright apartment near Nyhavn and the agent immediately pointed out the landmark view from the window. I used a small caliper to see if the radiator cover could be replaced without custom work. My partner listened to a voicemail about her glucose test and muttered about gestational diabetes as she packed a small, careful lunch for later. A little cartoon magnet on the fridge made me grin until I saw the headline about protests and economic shock on my phone.",86.85786,4.464273,17,10.4375,0,2.5876274,3437.832,53.26852,0.0,57901,734,0.012676811,6.598509,5.2287893,1328.5653,0.13633783161640167,0.0
"Context:
At the bottom of the article, the website inserted End of text, and the comment section was disabled beneath it. She downloaded the print version and noticed it used End of text/document instead, sitting above a blank margin. When she tried to submit a longer correction, the form preview cut her off with End of text/input before the final clause. A separate catalog page describing the service tier ended with End of text/short descriptions of items/products/services, which looked like a leftover label. She fixed her copy and resubmitted, determined to leave no stray markers behind.",60.38348,4.1007156,18,9.9375,0,2.4425192,3996.4797,60.57388,0.0,74986,678,0.0090416875,6.5191474,5.0151424,1636.2122,0.015543480403721333,0.0
"Context:
Elise signed in at the Mayo Clinic and recognized Dr. Patel’s name from three different referral letters stacked in her bag. Her brother booked a nearby Marriott and insisted on a celebratory lunch once the treatment plan was set. Over sandwiches, they watched a livestream of the New York Marathon and texted their friend Sam, whose name kept popping up in the group chat. The nurse practitioner explained the side effects of the new medication and scheduled physical therapy with a specialist. By evening, Elise’s world contained one city, one clinic, and a jumble of repeated names and brands tied to the same stressful event.",45.9439,3.8274212,19,9.0,0,2.6615083,4146.885,66.551544,0.0,76855,691,0.008990957,6.53814,5.053619,1558.0957,0.0027624680660665035,0.0
"Context:
He booked a room and asked for a late checkout because his flight left after dinner. The receptionist promised a quiet floor, a pool pass, and a breakfast voucher if he wanted it. In the lobby, he noticed a conference sign and a small bar set up for a private event. The hotel felt like a place designed around little comforts.",27.971865,3.3311992,20,6.25,1,2.152018,5887.287,63.14032,0.0,44263,666,0.015046427,6.50129,4.315882,2735.7053,0.9864304065704346,1.0
"Context:
Stockholm — The press release from NorthBridge Capital began with a list of familiar names and a promise of steady growth. At their office in Södermalm, a junior analyst tried to repair a jammed printer while downloading a driver that IT insisted was mandatory. The CEO paced the lobby of Grand Hôtel, worried that their partnership with a fintech startup could unravel after a competitor leaked contract details. On the walk back through Kungsträdgården, he stopped to buy sports eyewear and answered a call about pest control at the data center.",70.02613,4.2488685,21,10.287498,0,3.3666167,4941.884,67.564766,0.0,66506,740,0.011126815,6.6066504,5.40317,1467.9081,0.0038261846639215946,0.0
